"Story","Title","Result","Date","Stability","Duration (s)"
"Stores CRUD test","This will create a New Store","SUCCESS","2022-06-21T21:25:20.866+01:00[Europe/London]","0.0","4.89"
"Stores CRUD test","Verify if the Store was added to the application","SUCCESS","2022-06-21T21:25:25.784+01:00[Europe/London]","0.0","0.09"
"Stores CRUD test","Update the Store information","SUCCESS","2022-06-21T21:25:25.873+01:00[Europe/London]","0.0","0.1"
"Stores CRUD test","Delete the Store by ID","SUCCESS","2022-06-21T21:25:25.977+01:00[Europe/London]","0.0","0.12"
"Stores CRUD test","1. Verify the if the total is equal to 1563","FAILURE","2022-06-21T21:25:26.096+01:00[Europe/London]","0.0","0.39"
"Stores CRUD test","2. Verify the if the stores of limit is equal to 10","SUCCESS","2022-06-21T21:25:26.514+01:00[Europe/London]","0.0","0.1"
"Stores CRUD test","3. Check the single ‘Name’ in the Array list (Inver Grove Heights)","SUCCESS","2022-06-21T21:25:26.621+01:00[Europe/London]","0.0","0.15"
"Stores CRUD test","4. Check the multiple ‘Names’ in the ArrayList (Roseville, Burnsville, Maplewood)","SUCCESS","2022-06-21T21:25:26.771+01:00[Europe/London]","0.0","0.09"
"Stores CRUD test","5. Verify the storied=7 inside storeservices of the third store of second services","FAILURE","2022-06-21T21:25:26.856+01:00[Europe/London]","0.0","0.09"
"Stores CRUD test","6. Check hash map values ‘createdAt’ inside storeservices map where store name = Roseville","SUCCESS","2022-06-21T21:25:26.955+01:00[Europe/London]","0.0","0.09"
"Stores CRUD test","7. Verify the state = MN of forth store","SUCCESS","2022-06-21T21:25:27.042+01:00[Europe/London]","0.0","0.07"
"Stores CRUD test","8. Verify the store name = Rochester of 9th stor","FAILURE","2022-06-21T21:25:27.115+01:00[Europe/London]","0.0","0.08"
"Stores CRUD test","9. Verify the storeId = 11 for the 6th store","FAILURE","2022-06-21T21:25:27.200+01:00[Europe/London]","0.0","0.07"
"Stores CRUD test","10. Verify the serviceId = 4 for the 7th store of forth service","SUCCESS","2022-06-21T21:25:27.277+01:00[Europe/London]","0.0","0.08"
"Stores CRUD test","Extracting some data from Response","SUCCESS","2022-06-21T21:25:27.353+01:00[Europe/London]","0.0","0.54"
"Stores CRUD test","This will create a New Store","SUCCESS","2022-06-21T21:25:28.948+01:00[Europe/London]","0.0","0.04"
"Stores CRUD test","Verify if the Store was added to the application","SUCCESS","2022-06-21T21:25:28.993+01:00[Europe/London]","0.0","0.02"
"Stores CRUD test","Update the Store information","SUCCESS","2022-06-21T21:25:29.009+01:00[Europe/London]","0.0","0.09"
"Stores CRUD test","Delete the Store by ID","SUCCESS","2022-06-21T21:25:29.102+01:00[Europe/London]","0.0","0.05"
"Stores CRUD test","1. Verify the if the total is equal to 1563","FAILURE","2022-06-21T21:25:29.148+01:00[Europe/London]","0.0","0.05"
"Stores CRUD test","2. Verify the if the stores of limit is equal to 10","SUCCESS","2022-06-21T21:25:29.202+01:00[Europe/London]","0.0","0.35"
"Stores CRUD test","3. Check the single ‘Name’ in the Array list (Inver Grove Heights)","SUCCESS","2022-06-21T21:25:29.557+01:00[Europe/London]","0.0","0.07"
"Stores CRUD test","4. Check the multiple ‘Names’ in the ArrayList (Roseville, Burnsville, Maplewood)","SUCCESS","2022-06-21T21:25:29.631+01:00[Europe/London]","0.0","0.09"
"Stores CRUD test","5. Verify the storied=7 inside storeservices of the third store of second services","FAILURE","2022-06-21T21:25:29.724+01:00[Europe/London]","0.0","1.51"
"Stores CRUD test","6. Check hash map values ‘createdAt’ inside storeservices map where store name = Roseville","SUCCESS","2022-06-21T21:25:31.230+01:00[Europe/London]","0.0","0.05"
"Stores CRUD test","7. Verify the state = MN of forth store","SUCCESS","2022-06-21T21:25:31.279+01:00[Europe/London]","0.0","0.06"
"Stores CRUD test","8. Verify the store name = Rochester of 9th stor","FAILURE","2022-06-21T21:25:31.336+01:00[Europe/London]","0.0","0.05"
"Stores CRUD test","9. Verify the storeId = 11 for the 6th store","FAILURE","2022-06-21T21:25:31.383+01:00[Europe/London]","0.0","0.06"
"Stores CRUD test","10. Verify the serviceId = 4 for the 7th store of forth service","SUCCESS","2022-06-21T21:25:31.441+01:00[Europe/London]","0.0","0.12"
"Stores CRUD test","Extracting some data from Response","SUCCESS","2022-06-21T21:25:31.561+01:00[Europe/London]","0.0","0.55"
